a	0.0313682500
abandoned	0.0003903000
abducted	0.0002516000
ability	0.0002754500
able	0.0005764500
about	0.0052846250
above	0.0012330250
absence	0.0007218500
absolutely	0.0007314750
absorb	0.0000000000
abstract	0.0000000000
absurd	0.0019376250
abuse	0.0008455750
abused	0.0002516000
academy	0.0003408250
accent	0.0008772750
accepted	0.0000000000
accepts	0.0000000000
access	0.0000000000
acclaimed	0.0003306750
accomplice	0.0001419250
according	0.0003306750
accountant	0.0000000000
accrued	0.0003903000
accumulated	0.0002516000
accurate	0.0016483750
accusations	0.0010619000
accused	0.0007363250
accuses	0.0000000000
achieve	0.0010419250
achievement	0.0000000000
achieving	0.0006347250
acquainted	0.0003357500
acquaints	0.0003357500
across	0.0013255500
act	0.0000000000
acted	0.0000000000
acting	0.0015963750
action	0.0023996750
actions	0.0006347250
actor	0.0009842000
actors	0.0023482000
actress	0.0016099500
actresses	0.0023069750
acts	0.0000000000
actual	0.0007213750
actually	0.0026734500
add	0.0001196500
added	0.0005693250
additional	0.0000000000
adds	0.0004538750
admit	0.0003544750
adopted	0.0002516000
adoptive	0.0008174000
adopts	0.0000000000
ads	0.0004997500
adult	0.0006102000
adults	0.0007889000
adventure	0.0001419250
affect	0.0012387000
affected	0.0002754500
affectionate	0.0000000000
affects	0.0010419250
affluence	0.0002754500
afraid	0.0003377250
after	0.0025377750
again	0.0007923500
against	0.0000000000
age	0.0007889000
aggravates	0.0008002750
ago	0.0003834500
agree	0.0010619000
agreements	0.0002516000
ahead	0.0003834500
aids	0.0007825500
ailments	0.0003306750
air	0.0010698750
aires	0.0000000000
airline	0.0001419250
airport	0.0017034750
airwaves	0.0002516000
alice	0.0000000000
alida	0.0000000000
aliens	0.0000000000
alive	0.0000000000
all	0.0049416500
allen	0.0050797000
alluring	0.0000000000
almost	0.0012098500
alone	0.0000000000
along	0.0003135750
already	0.0002285000
alright	0.0001419250
also	0.0037640500
although	0.0007556750
always	0.0000000000
am	0.0001289000
amazement	0.0006347250
amazing	0.0000000000
ameche	0.0000000000
american	0.0007985000
americanized	0.0007462750
americans	0.0000000000
amid	0.0002754500
among	0.0003408250
amoral	0.0000000000
amount	0.0003608000
amuse	0.0006347250
amusing	0.0006102000
an	0.0072829000
and	0.0230380000
anderson	0.0007739750
anger	0.0003067250
angie	0.0027368500
angles	0.0021404500
angry	0.0000000000
angst	0.0018038000
angular	0.0002754500
animated	0.0000000000
ann	0.0017058000
anna	0.0006078500
annoying	0.0000000000
another	0.0016798000
answer	0.0000000000
anthony	0.0003408250
anti	0.0013693500
anticipate	0.0002516000
any	0.0017915500
anybody	0.0007777500
anyone	0.0012160500
anything	0.0013961500
anyway	0.0011479000
apartment	0.0002516000
apparent	0.0008627750
apparently	0.0008367250
appeal	0.0000000000
appear	0.0000000000
appears	0.0012562750
applauded	0.0010619000
applause	0.0003834500
apples	0.0000000000
arch	0.0006102000
arcs	0.0008242250
are	0.0074417000
aren	0.0001419250
argentina	0.0000000000
argument	0.0008002750
arise	0.0003003250
aristocratic	0.0000000000
aristocrats	0.0000000000
armistead	0.0013573000
arms	0.0000000000
around	0.0005403500
arrange	0.0005693250
arrive	0.0007599250
arriving	0.0006102000
art	0.0016236500
artist	0.0000000000
artistic	0.0003834500
artistically	0.0000000000
arts	0.0000000000
as	0.0088969250
ashe	0.0005288250
ashton	0.0000000000
aside	0.0000000000
asks	0.0003903000
asleep	0.0000000000
aspect	0.0000000000
aspects	0.0000000000
associates	0.0002516000
assumed	0.0000000000
astonishing	0.0000000000
at	0.0070609250
atmosphere	0.0000000000
attempt	0.0019774000
attempts	0.0008065500
attendants	0.0003306750
attention	0.0005693250
attractive	0.0000000000
audience	0.0027580000
audiences	0.0003903000
aunt	0.0000000000
aural	0.0003377250
authentic	0.0003903000
auto	0.0006102000
autobiography	0.0003408250
automatically	0.0008242250
available	0.0000000000
average	0.0003608000
avoid	0.0003972750
await	0.0001419250
award	0.0006446750
awards	0.0003306750
aware	0.0000000000
away	0.0017873500
awful	0.0005351250
